"lon","lat","spatial_effect"
-125,25,3.67170127105716
-124.504201680672,25,3.5343096950072
-124.008403361345,25,3.38929449350704
-123.512605042017,25,3.23682611875642
-123.016806722689,25,3.07717435760892
-122.521008403361,25,2.91072275503512
-122.025210084034,25,2.73798285111981
-121.529411764706,25,2.55960667245517
-121.033613445378,25,2.37639542768724
-120.53781512605,25,2.18930201846329
-120.042016806723,25,1.99942496591852
-119.546218487395,25,1.80799176474558
-119.050420168067,25,1.61633058246718
-118.55462184874,25,1.42583054688178
-118.058823529412,25,1.23789239883862
-117.563025210084,25,1.05387279122574
-117.067226890756,25,0.875026601697796
-116.571428571429,25,0.702452121055611
-116.075630252101,25,0.53704381235822
-115.579831932773,25,0.379456620919652
-115.084033613445,25,0.230084907628973
-114.588235294118,25,0.0890582405320166
-114.09243697479,25,-0.0437443034997971
-113.596638655462,25,-0.168660130040152
-113.100840336134,25,-0.286188910207998
-112.605042016807,25,-0.396919124761427
-112.109243697479,25,-0.501438909524811
-111.613445378151,25,-0.600238323620978
-111.117647058824,25,-0.693614076820307
-110.621848739496,25,-0.781590738768803
-110.126050420168,25,-0.86387317464637
-109.63025210084,25,-0.939842388039418
-109.134453781513,25,-1.00860100236932
-108.638655462185,25,-1.0690662209867
-108.142857142857,25,-1.1200990885172
-107.647058823529,25,-1.16065136655857
-107.151260504202,25,-1.18990711570243
-106.655462184874,25,-1.20739616585127
-106.159663865546,25,-1.21306104335611
-105.663865546218,25,-1.20726669862826
-105.168067226891,25,-1.19075199242201
-104.672268907563,25,-1.16453159339487
-104.176470588235,25,-1.12976519279928
-103.680672268908,25,-1.08761681009013
-103.18487394958,25,-1.03913011755243
-102.689075630252,25,-0.985145997596044
-102.193277310924,25,-0.926285289631418
-101.697478991597,25,-0.863010943093172
-101.201680672269,25,-0.795766580771401
-100.705882352941,25,-0.725160610012245
-100.210084033613,25,-0.652128882725114
-99.7142857142857,25,-0.577976294191346
-99.218487394958,25,-0.504198382012374
-98.7226890756303,25,-0.432094700615661
-98.2268907563025,25,-0.362545046208757
-97.7310924369748,25,-0.296539942552919
-97.2352941176471,25,-0.235779336202329
-96.7394957983193,25,-0.182137549248346
-96.2436974789916,25,-0.136537550029518
-95.7478991596639,25,-0.0982241618699078
-95.2521008403361,25,-0.064957513014036
-94.7563025210084,25,-0.0338154996483417
-94.2605042016807,25,-0.00197739934755505
-93.7647058823529,25,0.0327812690546334
-93.2689075630252,25,0.071879107110947
-92.7731092436975,25,0.115914403915127
-92.2773109243697,25,0.164756670261159
-91.781512605042,25,0.21768575813496
