,mean,sd
intercept,7.972869917548535,0.3056195500798395
prop_college_degree_or_higher_18plus,0.5612765402026934,0.05595390302857846
election_diff,0.33251997436661096,0.06060441969393837
log_contrib_2020,0.892463647302954,0.05399989415008382
log_income,-0.15986409503999857,0.04807906897862923
log_population,0.4201700709739448,0.0417265625334941
