"LOG_DONATIONS","fitted_gp","fitted_ols","resid_gp","ZIP_CODE","CAND_OFFICE_ST","CAND_PTY_AFFILIATION","in_state"
5.79909265446053,5.73351702038661,5.82426821326139,0.0655756340739151,1001,"AZ","DEM",0
5.66988092298052,6.01373701038876,6.09261735111011,-0.343856087408244,1001,"AZ","REP",0
5.52146091786225,5.75207325273901,5.8176793567013,-0.23061233487676,1001,"CO","DEM",0
5.56068163101553,5.80136324492506,5.80042448412664,-0.240681613909528,1001,"GA","DEM",0
5.85793315448346,5.78744607066076,5.80528426956741,0.0704870838226999,1001,"IA","DEM",0
4.8283137373023,5.77352889639646,5.81022957531017,-0.945215159094161,1001,"KS","DEM",0
2.99573227355399,5.8129608901453,5.79630661797613,-2.81722861659131,1001,"KY","DEM",0
3.80666248977032,6.09318088014746,6.06465575582486,-2.28651839037714,1001,"KY","REP",0
4.60517018598809,7.08617794865449,7.02202244468587,-2.4810077626664,1001,"MA","DEM",1
5.7037824746562,5.90458228738525,5.76416814754268,-0.200799812729053,1001,"ME","DEM",0
6.21460809842219,6.18480227738741,6.0325172853914,0.0298058210347847,1001,"ME","REP",0
5.71702770140622,5.82803782893162,5.79106819147186,-0.111010127525402,1001,"MI","DEM",0
6.39692965521615,6.02301512656496,6.08933712655523,0.373914528651185,1001,"MT","REP",0
5.52146091786225,5.82803782893162,5.79107643296991,-0.306576911069378,1001,"NC","DEM",0
5.52146091786225,6.10825781893378,6.05942557081864,-0.586796901071531,1001,"NC","REP",0
6.85856503479136,5.81412065466733,5.79601890210416,1.04444438012404,1001,"SC","DEM",0
6.62671774924902,6.09434064466948,6.06436803995288,0.532377104579544,1001,"SC","REP",0
8.21824792668574,6.51458088774557,6.54857025327569,1.70366703894017,1002,"AL","DEM",0
9.50599061407714,6.45833230842737,6.56829364562563,3.04765830564977,1002,"AZ","DEM",0
6.30627528694802,6.73855229842953,6.83664278347435,-0.43227701148151,1002,"AZ","REP",0
8.96673897875958,6.47746842304078,6.56169606159481,2.4892705557188,1002,"CO","DEM",0
7.56786260546388,6.52501876844379,6.54491527648535,1.04284383702009,1002,"GA","DEM",0
9.11624944857659,6.51226135870152,6.5493530435566,2.60398808987507,1002,"IA","DEM",0
8.98092720764838,6.49834418443722,6.55433905764227,2.48258302321115,1002,"KS","DEM",0
9.41686661746696,6.53719629592505,6.54072956522347,2.8796703215419,1002,"KY","DEM",0
4.60517018598809,7.82201099965448,7.76213606152616,-3.21684081366639,1002,"MA","DEM",1
10.040201375852,6.63751592708019,6.5054266626521,3.40268544877176,1002,"ME","DEM",0
6.26339826259162,6.91773591708234,6.77377580050082,-0.654337654490718,1002,"ME","REP",0
8.96941465086618,6.55285311697239,6.53520559074633,2.41656153389379,1002,"MI","DEM",0
5.52146091786225,6.83307310697454,6.80355472859505,-1.31161218911229,1002,"MI","REP",0
6.93731408122368,6.5111015941795,6.54979396728315,0.426212487044185,1002,"MN","DEM",0
9.83857562835898,6.46819030686458,6.56490666187623,3.3703853214944,1002,"MT","DEM",0
4.00733318523247,6.74841029686674,6.83325579972495,-2.74107711163426,1002,"MT","REP",0
9.47208906240146,6.55111347018935,6.53586498165468,2.92097559221211,1002,"NC","DEM",0
7.49276030092238,6.70304262257458,6.48253840252956,0.789717678347795,1002,"NH","DEM",0
4.60517018598809,6.4502139567732,6.57126723752823,-1.84504377078511,1002,"OR","DEM",0
9.34013980951103,6.53719629592505,6.5406570381966,2.80294351358598,1002,"SC","DEM",0
5.7037824746562,6.48268736338989,6.55974055175164,-0.778904888733691,1002,"TX","DEM",0
5.5683445037611,5.96884741814009,6.03482867993306,-0.400502914378993,1007,"AL","DEM",0
7.5005294853953,5.91259883882189,6.05461530618809,1.5879306465734,1007,"AZ","DEM",0
4.60517018598809,5.9317349534353,6.04803805365258,-1.32656476744721,1007,"CO","DEM",0
6.28226674689601,5.97986518109932,6.03114817613874,0.302401565796682,1007,"GA","DEM",0
6.99759598298193,5.96652788909604,6.03572683707342,1.03106809388589,1007,"IA","DEM",0
6.05208916892442,5.95261071483174,6.04067828254832,0.0994784540926732,1007,"KS","DEM",0
6.9177056098353,5.99146282631957,6.0270355526519,0.926242783515733,1007,"KY","DEM",0
7.87777633327726,6.09062269295268,5.99208140773792,1.78715364032458,1007,"ME","DEM",0
4.49980967033027,6.37084268295484,6.26043054558664,-1.87103301262457,1007,"ME","REP",0
7.32251043399739,6.00653976510589,6.02164904247976,1.3159706688915,1007,"MI","DEM",0
6.61338421837956,5.96536812457402,6.03619588518018,0.648016093805544,1007,"MN","DEM",0
7.52563997504154,5.9224568372591,6.05126541200542,1.60318313778243,1007,"MT","DEM",0
7.17011954344963,6.00538000058387,6.02203827183668,1.16473954286576,1007,"NC","DEM",0
5.39816270151775,6.15440974166404,5.96983077227157,-0.756247040146288,1007,"NH","DEM",0
5.41610040220442,5.90448048716772,6.05761038572561,-0.488380084963299,1007,"OR","DEM",0
6.88243747099785,5.99204270858058,6.02684983478456,0.890394762417264,1007,"SC","DEM",0
2.484906649788,6.27226269858274,6.29519897263329,-3.78735604879474,1007,"SC","REP",0
7.69621263934641,5.34917031515417,5.47863712987139,2.34704232419223,1013,"AZ","DEM",0
7.9373746961633,5.40309936542832,5.45964635144661,2.53427533073497,1013,"IA","DEM",0
7.17011954344963,5.38918219116403,5.46460877356463,1.7809373522856,1013,"KS","DEM",0
4.60517018598809,5.42861418491287,5.45075170458843,-0.823443998924775,1013,"KY","DEM",0
4.52178857704904,5.70883417491502,5.71910084243715,-1.18704559786598,1013,"KY","REP",0
4.60517018598809,5.52197522893585,5.41796367210071,-0.916805042947763,1013,"ME","DEM",0
4.60517018598809,5.80219521893801,5.68631280994943,-1.19702503294992,1013,"ME","REP",0
5.29831736654804,5.44369112369919,5.44542162960979,-0.145373757151152,1013,"MI","DEM",0
6.21460809842219,5.42919406717388,5.45053585711045,0.785414031248313,1013,"SC","DEM",0
6.33150184989369,5.70941405717603,5.71888499495917,0.622087792717659,1013,"SC","REP",0
5.29831736654804,5.55464737520217,5.62497718333623,-0.256330008654131,1020,"AL","DEM",0
3.80666248977032,5.77803890362511,5.91328365389934,-1.97137641385479,1020,"AZ","REP",0
5.52146091786225,5.5517479638971,5.62595877930267,-0.030287046034859,1020,"IA","DEM",0
3.91202300542815,5.57668290112064,5.61710451862268,-1.66465989569249,1020,"KY","DEM",0
3.91202300542815,5.85690289112279,5.8854536564714,-1.94487988569464,1020,"KY","REP",0
4.24849524204936,6.85453901771792,6.84126810272287,-2.60604377566856,1020,"MA","DEM",1
5.13579843705026,5.67120370966565,5.58392127161247,-0.535405272615387,1020,"ME","DEM",0
4.31748811353631,5.59233972216797,5.61175577489244,-1.27485160863166,1020,"MI","DEM",0
2.99573227355399,5.55000831711407,5.62647419648467,-2.55427604356008,1020,"MN","DEM",0
5.52146091786225,5.50709702979915,5.64161552676212,0.0143638880630919,1020,"MT","DEM",0
2.63905732961526,5.78731701980131,5.90996466461084,-3.14825969018605,1020,"MT","REP",0
5.52146091786225,5.59175983990696,5.61201053241872,-0.070298922044711,1020,"NC","DEM",0
4.60517018598809,5.7297718180279,5.56350784959908,-1.1246016320398,1020,"NH","DEM",0
4.17438726989564,5.48912067970777,5.6479731863258,-1.31473340981213,1020,"OR","DEM",0
5.29831736654804,5.57726278338165,5.61690085318468,-0.278945416833612,1020,"SC","DEM",0
6.21460809842219,5.8574827733838,5.8852499910334,0.35712532503839,1020,"SC","REP",0
5.78382518232974,6.2102962686224,6.2544568513604,-0.426471086292667,1026,"KY","DEM",0
5.16478597392351,6.3042371949064,6.22153114570624,-1.13945122098289,1026,"ME","DEM",0
8.37332282099653,6.20971638636139,6.254706371277,2.16360643463514,1026,"SC","DEM",0
4.78749174278205,5.93316494771725,5.97860136966795,-1.14567320493521,1027,"AL","DEM",0
7.08673793451058,5.87633648613804,5.99851431241041,1.21040144837254,1027,"AZ","DEM",0
6.21460809842219,6.15655647614019,6.26686345025913,0.0580516222819982,1027,"AZ","REP",0
5.52146091786225,5.89547260075145,5.99189309392211,-0.374011682889202,1027,"CO","DEM",0
4.8283137373023,5.94360282841547,5.97490039615536,-1.11528909111317,1027,"GA","DEM",0
5.7037824746562,5.9308454186732,5.97945972691341,-0.227062944017001,1027,"IA","DEM",0
6.21460809842219,5.91634836214789,5.9844659122303,0.298259736274299,1027,"KS","DEM",0
7.80261806344267,5.95578035589673,5.97065624709884,1.84683770754594,1027,"KY","DEM",0
7.30720231476474,6.05030116444174,5.93741091935909,1.25690115032299,1027,"ME","DEM",0
5.29831736654804,6.3305211544439,6.20576005720781,-1.03220378789586,1027,"ME","REP",0
3.91202300542815,5.97143717694407,5.96514743967474,-2.05941417151592,1027,"MI","DEM",0
6.30991827822652,5.88619448457525,5.99515702575741,0.423723793651265,1027,"MT","DEM",0
3.68887945411394,6.1664144745774,6.26350616360613,-2.47753502046347,1027,"MT","REP",0
7.03614849375054,5.96969753016103,5.96570654004011,1.06645096358951,1027,"NC","DEM",0
5.52146091786225,6.109449155065,5.91673767163605,-0.587988237202758,1027,"NH","DEM",0
8.20821938349683,5.95578035589673,5.97058700342562,2.2524390276001,1027,"SC","DEM",0
5.01063529409626,6.4310852391606,6.49287056937167,-1.42044994506434,1028,"AR","REP",0
4.89783979995091,6.1062143150605,6.24026084071709,-1.20837451510958,1028,"AZ","DEM",0
6.12905021006055,6.38643430506265,6.50860997856581,-0.257384095002103,1028,"AZ","REP",0
