"model","r_squared","dev_explained","AIC"
"A_OLS_dist",0.205373157914717,NA,561631.147728659
"B_GP_spatial",0.222988117641091,0.223746122341217,558241.870392259
"C_GP_spatial_destFE",0.304723076105218,0.305599941821638,540784.34281497
