"model","term","estimate","std_error","t_value","p_value","exp_b_minus_1"
"A_OLS_dist","(Intercept)",6.11940051690616,0.00512097264111973,1194.96840654242,0,453.592092523492
"A_OLS_dist","population_z",0.220322200760156,0.00376033710107236,58.5910770333132,0,0.246478282143824
"A_OLS_dist","median_income_z",-0.0959444979481448,0.00535817477379981,-17.9061904470325,1.2432082675849e-71,-0.091485560915088
"A_OLS_dist","prop_college_degree_or_higher_18plus_z",0.781945295712391,0.00624939750178675,125.123309165216,0,1.18572000435755
"A_OLS_dist","hs_z",-0.104134083270846,0.00483219945862517,-21.5500382719039,7.4565578374718e-103,-0.0988955337135444
"A_OLS_dist","CAND_PTY_AFFILIATIONREP",0.268349137848721,0.00736802311033984,36.4207785222791,3.22527926697323e-289,0.307803664073209
"A_OLS_dist","in_state",1.28588535124721,0.0186847455415553,68.820062247429,0,2.61786962509279
"A_OLS_dist","log_dist_z",0.0255873856696893,0.0051412224629225,4.97690692325036,6.46763369731759e-07,0.0259175528458759
"B_GP_spatial","(Intercept)",6.10555147660659,0.00768009798492897,794.98353908867,0,447.33982221567
"B_GP_spatial","population_z",0.204439702413177,0.0040069870799303,51.0208039943901,0,0.226837478276083
"B_GP_spatial","median_income_z",-0.144014085366683,0.00603497967754406,-23.8632262346391,1.23660121700543e-125,-0.134124448201338
"B_GP_spatial","prop_college_degree_or_higher_18plus_z",0.783212296634783,0.00650503940769047,120.400853484276,0,1.18849106871902
"B_GP_spatial","hs_z",-0.0646026361544645,0.00532546662193262,-12.1308874396851,7.50302957222361e-34,-0.0625601059014715
"B_GP_spatial","CAND_PTY_AFFILIATIONREP",0.280219990002153,0.00741099046352248,37.8114087963571,1.87166908406309e-311,0.32342091968688
"B_GP_spatial","in_state",1.10157190924953,0.0195473350240673,56.3540711761087,0,2.00889201374702
"B_GP_spatial","log_dist_z",-0.0728618093907656,0.00559817782272559,-13.015272415068,1.04911555056482e-38,-0.0702706989926241
"C_GP_spatial_destFE","(Intercept)",5.61581617143492,0.0220400032221903,254.801059456325,0,273.737520630459
"C_GP_spatial_destFE","population_z",0.247966435664832,0.00382234824684293,64.8728006061824,0,0.281416921565169
"C_GP_spatial_destFE","median_income_z",-0.162755864602693,0.005729291845107,-28.4076756783984,4.57271607416795e-177,-0.150201370982311
"C_GP_spatial_destFE","prop_college_degree_or_higher_18plus_z",0.867224075527694,0.00625166039837204,138.718999476287,0,1.38029415724622
"C_GP_spatial_destFE","hs_z",-0.0625676415035434,0.00505379194271685,-12.3803358374717,3.46808936066994e-35,-0.0606504783495071
"C_GP_spatial_destFE","CAND_PTY_AFFILIATIONREP",0.124694618456169,0.00748138992936163,16.6673064274848,2.56337838855669e-62,0.132802463274977
"C_GP_spatial_destFE","in_state",1.44094535352265,0.0197581685626763,72.9290950703107,0,3.22468775325337
"C_GP_spatial_destFE","log_dist_z",-0.126034860635746,0.00562262871136924,-22.4156470408399,4.14069230044681e-111,-0.118415886334934
