ZIP_CODE,LOG_TRANSACTION_AMT_2020,LOG_TRANSACTION_AMT_2022,lat,lon,prop_college_degree_or_higher_18plus,log_income,log_population,log_contrib_2020,log_contrib_2022,election_2020,election_2022,election_diff,state
01001,8.645058562414134,6.838405200847344,42.0702,-72.6227,0.3452150617651436,11.229793027217019,9.740027003383092,8.645058562414134,6.838405200847344,1,0,-1,MA
01002,11.812148187205826,11.338191052863706,42.3671,-72.4646,0.4982421540044589,11.167868484657124,10.224048153553849,11.812148187205826,11.338191052863706,1,0,-1,MA
01007,9.60649561075857,8.42639282708974,42.2751,-72.411,0.4370972938144329,11.59104324423418,9.643615180723614,9.60649561075857,8.42639282708974,1,0,-1,MA
01013,8.981555940771887,6.077642243349034,42.1487,-72.6079,0.2085827216261999,10.99807508606562,10.071372061532314,8.981555940771887,6.077642243349034,1,0,-1,MA
01020,7.745002803515839,8.088561805276234,42.1764,-72.57609999999998,0.2306236694788299,11.097546375348252,10.301625885257831,7.745002803515839,8.088561805276234,1,0,-1,MA
01026,8.482808764554406,8.261268150577648,42.4633,-72.9202,0.5149833518312985,11.432257561902773,6.918695219020472,8.482808764554406,8.261268150577648,1,0,-1,MA
01027,9.459385560813045,9.284148299120902,42.2668,-72.669,0.3799451101144654,11.213791401404334,9.792332503169966,9.459385560813045,9.284148299120902,1,0,-1,MA
01028,9.452815851589884,8.357493812658563,42.0672,-72.5056,0.464947559340746,11.575186394363742,9.706072662294519,9.452815851589884,8.357493812658563,1,0,-1,MA
01030,6.284134161070802,6.777646593635117,42.0718,-72.6751,0.2962562641249877,11.449080036921474,9.368027647811777,6.284134161070802,6.777646593635117,1,0,-1,MA
01031,5.25227342804663,5.69035945432406,42.3322,-72.1986,0.2094763092269326,11.010679596283687,7.2485040723706105,5.25227342804663,5.69035945432406,1,0,-1,MA
01033,7.741099090035366,5.860786223465865,42.2557,-72.52,0.3326347875785864,11.689371461080805,8.714731714015052,7.741099090035366,5.860786223465865,1,0,-1,MA
01034,6.852242569051878,7.206377291472252,42.1127,-72.952,0.3574380165289256,11.418790594219553,7.589335823170617,6.852242569051878,7.206377291472252,1,0,-1,MA
01035,10.09352923234522,9.066931788680826,42.3606,-72.5715,0.5824151113109962,11.689052877600856,8.580167990577626,10.09352923234522,9.066931788680826,1,0,-1,MA
01036,7.599901959208498,7.8567067930958405,42.0648,-72.4318,0.3593419506462985,11.557286788668982,8.510369966068112,7.599901959208498,7.8567067930958405,1,0,-1,MA
